#{"t_start": 1752083390.4125154, "env_id": "None"}
r,l,t
-0.835516,10,7.311029
-0.835516,10,7.317683
-0.835516,10,7.322564
-0.835516,10,7.328697
-0.835516,10,7.334702
-0.835516,10,7.340277
-0.835516,10,7.346287
-0.835516,10,7.351293
-0.835516,10,7.357148
-0.835516,10,7.363144
-0.835516,10,7.369143
-0.835516,10,7.371212
-0.835516,10,7.371212
-0.835516,10,7.384707
-0.835516,10,7.387392
-0.835516,10,7.387392
-0.835516,10,7.387392
-0.835516,10,7.403138
-0.835516,10,7.403138
-0.835516,10,7.41897
-0.835516,10,7.41897
-0.835516,10,7.41897
-0.835516,10,7.434839
-0.835516,10,7.434839
-0.835516,10,7.434839
-0.835516,10,7.450612
-0.835516,10,7.450612
-0.835516,10,7.450612
-0.835516,10,7.466498
-0.835516,10,7.466498
-0.835516,10,7.482446
-0.835516,10,7.485107
-0.835516,10,7.485107
-0.835516,10,7.498226
-0.835516,10,7.498226
-0.835516,10,7.498226
-0.835516,10,7.514098
-0.835516,10,7.514098
-0.835516,10,7.514098
-0.835516,10,7.530014
-0.835516,10,7.530014
-0.835516,10,7.530014
-0.835516,10,7.545777
-0.835516,10,7.545777
-0.835516,10,7.545777
-0.835516,10,7.562
-0.835516,10,7.562
-0.835516,10,7.577769
-0.835516,10,7.577769
-0.835516,10,7.588961
-0.835516,10,7.595085
-0.835516,10,7.60009
-0.835516,10,7.606078
-0.835516,10,7.606078
-0.835516,10,7.606078
-0.835516,10,7.621662
-0.835516,10,7.621662
-0.835516,10,7.621662
-0.835516,10,7.638858
-0.835516,10,7.638858
-0.835516,10,7.638858
-0.835516,10,7.655212
-0.835516,10,7.655212
-0.835516,10,7.655212
-0.835516,10,7.672299
-0.835516,10,7.672299
-0.835516,10,7.672299
-0.835516,10,7.688453
-0.835516,10,7.688453
-0.835516,10,7.688453
-0.835516,10,7.705076
-0.835516,10,7.705076
-0.835516,10,7.705076
-0.835516,10,7.7217
-0.835516,10,7.7217
-0.835516,10,7.736797
-0.835516,10,7.738662
-0.835516,10,7.738662
-0.835516,10,7.755225
-0.835516,10,7.755225
-0.835516,10,7.755225
-0.835516,10,7.772184
-0.835516,10,7.773718
-0.835516,10,7.773718
-0.835516,10,7.788756
-0.835516,10,7.794809
-0.835516,10,7.800814
-0.835516,10,7.805385
-0.835516,10,7.805385
-0.835516,10,7.805385
-0.835516,10,7.821881
-0.835516,10,7.821881
-0.835516,10,7.821881
-0.835516,10,7.841666
-0.835516,10,7.846667
-0.835516,10,7.852666
-0.835516,10,7.858666
-0.835516,10,7.863667
-0.835516,10,7.870359
-0.835516,10,7.875929
-0.835516,10,7.881929
-0.835516,10,7.887639
-0.835516,10,7.893798
-0.835516,10,7.898798
-0.835516,10,7.904881
-0.835516,10,7.91088
-0.835516,10,7.916881
-0.835516,10,7.922565
-0.835516,10,7.928666
-0.835516,10,7.933666
-0.835516,10,7.939954
-0.835516,10,7.944952
