#{"t_start": 1752135760.0059714, "env_id": "None"}
r,l,t
1.757931,10,170.217601
2.323381,10,170.441808
3.566986,10,170.653253
1.942836,10,170.85628
2.241735,10,171.06118
1.868963,10,171.287831
1.988184,10,171.493181
1.967403,10,171.715341
3.324353,10,171.920196
1.824625,10,172.141641
3.321265,10,172.342237
2.377914,10,172.548039
2.7283,10,172.755346
2.55232,10,172.968163
2.548253,10,173.173117
2.622854,10,173.429576
2.77692,10,173.649266
2.229502,10,173.873208
1.907082,10,174.078327
2.47381,10,174.284824
2.748377,10,174.488508
2.80368,10,174.698149
2.766763,10,174.904487
1.96051,10,175.109283
2.537289,10,175.314256
2.119582,10,175.565169
3.878685,10,175.78034
2.230566,10,176.018344
2.33949,10,176.230667
2.683551,10,176.497332
3.044457,10,176.730606
2.393891,10,176.968391
2.054079,10,177.207619
1.77133,10,177.490516
1.946285,10,177.892371
2.492474,10,178.253731
2.510773,10,178.673776
2.381389,10,179.097663
1.234057,10,179.430634
2.639031,10,179.82876
1.994768,10,180.242896
1.809162,10,180.620853
2.237025,10,181.050827
2.00131,10,181.336005
3.257672,10,181.753476
2.435458,10,182.194365
1.943122,10,182.613807
2.318546,10,183.032309
3.427114,10,183.41781
3.133716,10,183.732809
2.587436,10,184.155976
2.892459,10,184.427666
2.427017,10,184.823918
2.461028,10,185.121691
2.529996,10,185.474198
3.130168,10,185.895706
1.562815,10,186.26124
2.227498,10,186.698671
2.660896,10,187.101069
2.406434,10,187.468543
1.64879,10,187.903255
1.396391,10,188.330687
2.750786,10,188.776479
1.894575,10,189.205826
2.910953,10,189.655152
2.822809,10,190.114686
1.673579,10,190.494371
2.714501,10,190.89997
2.24712,10,191.183422
3.809334,10,191.459696
1.821268,10,191.808708
1.933203,10,192.223239
2.705999,10,192.6717
2.278508,10,193.109824
2.158102,10,193.541534
2.254335,10,193.969679
2.137346,10,194.383808
2.544964,10,194.655965
3.177481,10,194.94803
2.026285,10,195.21815
3.701533,10,195.455402
1.831363,10,195.824262
3.376313,10,196.250986
2.318482,10,196.551388
2.012081,10,196.83917
1.864031,10,197.073748
2.823793,10,197.342758
2.47812,10,197.577984
2.356157,10,197.801733
2.131183,10,198.026937
1.84976,10,198.231575
1.783824,10,198.421179
2.279271,10,198.657286
2.614384,10,198.899694
2.907586,10,199.099156
2.439435,10,199.296027
2.307708,10,199.499429
2.194738,10,199.733137
3.091482,10,199.961832
3.023759,10,200.323265
2.504818,10,200.631897
2.049308,10,200.952878
2.105216,10,201.288785
2.074925,10,201.71657
2.271746,10,202.352389
1.865868,10,202.845969
2.449457,10,203.288165
2.786928,10,203.748012
2.137622,10,204.074116
1.512502,10,204.400896
2.853681,10,204.828776
1.93847,10,205.430202
2.19767,10,205.779763
1.963129,10,206.14014
2.493685,10,206.568999
1.815328,10,207.045426
2.266239,10,207.359169
1.755706,10,207.812163
1.496467,10,208.465797
2.207041,10,208.952712
2.489712,10,209.300637
1.835625,10,209.882517
2.836511,10,210.248158
2.7383,10,210.56687
2.886894,10,210.916974
2.921061,10,211.393171
2.637869,10,211.779879
2.168997,10,212.174121
1.703643,10,212.506403
2.585939,10,213.083103
3.369486,10,213.622745
1.83883,10,213.999664
2.783654,10,214.58676
2.751322,10,215.225513
2.397756,10,215.796386
1.689582,10,216.432075
2.692192,10,216.946453
2.330407,10,217.329741
2.292093,10,217.729352
2.435898,10,218.277232
2.494625,10,218.876994
3.884334,10,219.534262
2.922738,10,219.988669
2.742022,10,220.508018
2.600104,10,220.880995
2.182946,10,221.293754
2.036326,10,221.774569
2.598747,10,222.148832
